precinct,method,candidate,votes
Norristown 1-2,Election Day,ROBERT P CASEY JR(DEM),451
Norristown 1-2,Election Day,DAVE MCCORMICK(REP),141
Norristown 1-2,Mail-in,ROBERT P CASEY JR(DEM),191
Norristown 1-2,Mail-in,DAVE MCCORMICK(REP),29
Norristown 1-2,Provisional,ROBERT P CASEY JR(DEM),11
Norristown 1-2,Provisional,DAVE MCCORMICK(REP),3
Norristown 1-2,Total,ROBERT P CASEY JR(DEM),653
Norristown 1-2,Total,DAVE MCCORMICK(REP),173
Norristown 1-3,Election Day,ROBERT P CASEY JR(DEM),476
Norristown 1-3,Election Day,DAVE MCCORMICK(REP),184
Norristown 1-3,Mail-in,ROBERT P CASEY JR(DEM),177
Norristown 1-3,Mail-in,DAVE MCCORMICK(REP),41
Norristown 1-3,Provisional,ROBERT P CASEY JR(DEM),9
Norristown 1-3,Provisional,DAVE MCCORMICK(REP),2
Norristown 1-3,Total,ROBERT P CASEY JR(DEM),662
Norristown 1-3,Total,DAVE MCCORMICK(REP),227
Norristown 2-1,Election Day,ROBERT P CASEY JR(DEM),****
Norristown 2-1,Election Day,DAVE MCCORMICK(REP),****
Norristown 2-1,Mail-in,ROBERT P CASEY JR(DEM),****
Norristown 2-1,Mail-in,DAVE MCCORMICK(REP),****
Norristown 2-1,Provisional,ROBERT P CASEY JR(DEM),****
Norristown 2-1,Provisional,DAVE MCCORMICK(REP),****
Norristown 2-1,Total,ROBERT P CASEY JR(DEM),543
Norristown 2-1,Total,DAVE MCCORMICK(REP),121
Norristown 2-2,Election Day,ROBERT P CASEY JR(DEM),****
Norristown 2-2,Election Day,DAVE MCCORMICK(REP),****
Norristown 2-2,Mail-in,ROBERT P CASEY JR(DEM),****
Norristown 2-2,Mail-in,DAVE MCCORMICK(REP),****
Norristown 2-2,Provisional,ROBERT P CASEY JR(DEM),****
Norristown 2-2,Provisional,DAVE MCCORMICK(REP),****
Norristown 2-2,Total,ROBERT P CASEY JR(DEM),381
Norristown 2-2,Total,DAVE MCCORMICK(REP),80
Norristown 2-3,Election Day,ROBERT P CASEY JR(DEM),387
Norristown 2-3,Election Day,DAVE MCCORMICK(REP),58
Norristown 2-3,Mail-in,ROBERT P CASEY JR(DEM),97
Norristown 2-3,Mail-in,DAVE MCCORMICK(REP),19
Norristown 2-3,Provisional,ROBERT P CASEY JR(DEM),9
Norristown 2-3,Provisional,DAVE MCCORMICK(REP),3
Norristown 2-3,Total,ROBERT P CASEY JR(DEM),493
Norristown 2-3,Total,DAVE MCCORMICK(REP),80
Norristown 3-1,Election Day,ROBERT P CASEY JR(DEM),660
Norristown 3-1,Election Day,DAVE MCCORMICK(REP),213
Norristown 3-1,Mail-in,ROBERT P CASEY JR(DEM),278
Norristown 3-1,Mail-in,DAVE MCCORMICK(REP),70
Norristown 3-1,Provisional,ROBERT P CASEY JR(DEM),23
Norristown 3-1,Provisional,DAVE MCCORMICK(REP),5
Norristown 3-1,Total,ROBERT P CASEY JR(DEM),961
Norristown 3-1,Total,DAVE MCCORMICK(REP),288
